pathway,pvalue,dist
M27806,0.001,0.210216152
M27234,0.001,0.045210126
M27805,0.003,0.035037289
M27803,0.002,0.06896074
M27817,0.001,0.384582084
M27807,0.001,0.380053093
M27808,0.001,0.379865909
M27821,0.001,0.37858111
M27824,0.001,0.207276052
M27823,0.001,0.381525075
M27694,1,Inf
M27220,0.001,0.386822806
M27222,0.007,0.272064281
M27221,0.001,0.112427347
M1024,0.014,0.208501948
M27150,0.001,0.109340672
M39006,0.001,0.028072536
M7578,0.001,0.379795909
M39009,0.001,0.002780991
M16498,0.001,0.379733815
M27325,0.001,0.37858111
M18415,0.001,0.169491464
M27585,0.001,0.38305358
M2243,0.001,0.097651008
M42524,0.001,0.385294301
M27797,0.001,0.064002279
M26956,0.001,0.007432939
M41727,0.001,0.0151827
M27959,0.041,0.277104399
M1025,0.001,0.033847568
M27173,0.001,0.379468311
M41824,0.001,0.017128776
M27170,0.55,0.039965093
M41823,0.001,0.012329064
M26929,0.001,0.14304157
M739,0.001,0.088646136
M29848,0.001,0.097889066
M27319,0.003,0.081802904
M14236,0.001,0.379468311
M26965,0.001,0.208870591
M925,0.001,0.268333021
M42517,0.001,0.041207014
M1662,0.006,0.17269044
M878,0.001,0.032521856
M1081,0.311,0.030303613
M27795,0.001,0.050693435
M673,0.001,0.143205316
M41826,0.001,0.064710702
M42521,0.001,0.005392892
M563,0.001,0.109512267
M9379,0.001,0.208240797
M27701,0.001,0.036368683
M29535,0.001,0.380398868
M41835,0.001,0.005321416
M27613,0.978,0.170980162
M27245,0.001,0.379782199
M544,0.001,0.024127952
M27316,0.001,0.008692199
M27792,0.005,0.047784686
M27039,0.001,0.016406079
M38994,0.001,0.653943423
M1921,0.001,0.012116624
M27865,0.001,0.088610175
M41733,0.001,0.14317935
M1095,0.001,0.023426123
M591,0.001,0.081366547
M27195,0.001,0.378894162
M41732,0.001,0.268628928
M38997,0.001,0.392467506
M27744,0.001,0.384582084
M27534,0.001,0.270397415
M511,0.001,0.273383818
M29843,0.001,0.010436319
M635,0.001,0.017648658
M27202,0.001,0.267591674
M27187,0.001,0.015569254
M7923,0.001,0.005722517
M39002,0.001,0.170049134
M27530,0.001,0.043207711
M604,0.001,0.069046813
M27918,0.001,0.172499163
M27636,0.001,0.00742571
M27532,0.001,0.047591917
M29851,0.001,0.268277797
M29849,0.001,0.098626122
M27533,0.001,0.047591917
M27864,0.001,0.14333998
M27246,0.001,0.37858111
M618,0.001,0.027665527
M27696,0.001,0.020334261
M27811,0.001,0.035089833
M27443,0.001,0.031815097
M27550,0.03,0.001747951
M29574,0.001,0.050401148
M27342,0.001,0.389063527
M12256,0.003,0.074130165
M29841,0.001,0.005265132
M3158,0.001,0.001149327
M27405,0.001,0.088840552
M27340,0.001,0.269338619
M27536,0.001,0.020354828
M633,0.001,0.050012122
M27440,0.65,0.005998652
M29742,0.03,0.010018684
M29594,1,Inf
M2049,0.001,0.025417136
